n	t_ms	AcY	AcY_offset	AcZ	roll	gyroXrate	compX	e	edot
1.0	0.0	2928.0	2539.0	15008.0	9.6	42.45	0.05	0.05	2442.78
2.0	6.48	2884.0	2495.0	14916.0	9.5	42.98	0.37	0.37	50.06
3.0	12.92	2924.0	2535.0	15056.0	9.56	43.66	0.7	0.7	50.58
4.0	19.4	3124.0	2735.0	14900.0	10.4	44.05	1.03	1.03	51.31
5.0	25.94	3280.0	2891.0	14852.0	11.02	44.46	1.37	1.37	51.87
6.0	32.5	3272.0	2883.0	14920.0	10.94	44.78	1.71	1.71	51.85
7.0	39.06	3376.0	2987.0	14852.0	11.37	45.24	2.05	2.05	52.38
8.0	45.6	3528.0	3139.0	14844.0	11.94	45.44	2.4	2.4	52.78
9.0	52.14	3684.0	3295.0	14908.0	12.46	46.11	2.75	2.75	53.58
10.0	58.72	3716.0	3327.0	14736.0	12.72	46.27	3.1	3.1	53.62
11.0	65.34	3712.0	3323.0	14700.0	12.74	46.82	3.46	3.46	53.86
12.0	71.99	3876.0	3487.0	14756.0	13.3	47.2	3.82	3.82	54.36
13.0	78.62	3868.0	3479.0	14704.0	13.31	47.49	4.18	4.18	54.42
14.0	85.28	4092.0	3703.0	14684.0	14.15	47.73	4.55	4.55	54.98
15.0	91.92	4080.0	3691.0	14644.0	14.15	47.98	4.91	4.91	54.97
16.0	98.56	4188.0	3799.0	14692.0	14.5	48.18	5.28	5.28	55.16
17.0	105.19	4328.0	3939.0	14668.0	15.03	48.67	5.65	5.65	55.78
18.0	111.87	4476.0	4087.0	14640.0	15.6	49.04	6.02	6.02	56.24
19.0	118.53	4568.0	4179.0	14592.0	15.98	49.31	6.4	6.4	56.54
20.0	125.2	4596.0	4207.0	14560.0	16.12	49.82	6.78	6.78	56.86
21.0	131.88	4648.0	4259.0	14700.0	16.16	50.11	7.16	7.16	56.88
22.0	138.57	4772.0	4383.0	14496.0	16.82	50.29	7.54	7.54	57.26
23.0	145.25	4860.0	4471.0	14572.0	17.06	50.26	7.92	7.92	57.13
24.0	151.94	4868.0	4479.0	14584.0	17.07	50.36	8.31	8.31	56.95
25.0	158.64	4928.0	4539.0	14528.0	17.35	50.27	8.69	8.69	56.77
26.0	165.34	5128.0	4739.0	14428.0	18.18	50.32	9.07	9.07	57.16
27.0	172.03	5192.0	4803.0	14412.0	18.43	50.47	9.45	9.45	57.22
28.0	178.71	5384.0	4995.0	14176.0	19.41	50.7	9.84	9.84	57.9
29.0	185.39	5652.0	5263.0	14264.0	20.25	50.79	10.23	10.23	58.33
30.0	192.17	5696.0	5307.0	14156.0	20.55	50.91	10.62	10.62	58.27
31.0	198.96	5848.0	5459.0	14148.0	21.1	51.2	11.02	11.02	58.66
32.0	205.72	5788.0	5399.0	14112.0	20.94	51.55	11.42	11.42	58.62
33.0	212.52	6116.0	5727.0	14028.0	22.21	52.31	11.83	11.83	59.99
34.0	219.3	6236.0	5847.0	13824.0	22.93	52.4	12.23	12.23	60.32
35.0	226.08	6652.0	6263.0	13856.0	24.32	53.31	12.65	12.65	61.97
36.0	232.88	6624.0	6235.0	13356.0	25.02	53.87	13.08	13.08	62.69
37.0	239.63	6884.0	6495.0	13748.0	25.29	53.71	13.5	13.5	62.49
38.0	246.4	5568.0	5179.0	13948.0	20.37	53.34	13.9	13.9	58.14
39.0	253.18	6472.0	6083.0	13936.0	23.58	51.77	14.29	14.29	58.66
40.0	259.96	6888.0	6499.0	13912.0	25.04	50.25	14.69	14.69	57.92
41.0	266.74	6068.0	5679.0	13856.0	22.29	47.98	15.05	15.05	53.36
42.0	273.52	5760.0	5371.0	13672.0	21.45	47.58	15.4	15.4	52.06
43.0	280.29	6572.0	6183.0	14160.0	23.59	45.76	15.75	15.75	51.58
44.0	287.07	8152.0	7763.0	13316.0	30.24	44.08	16.12	16.12	54.56
45.0	293.86	7188.0	6799.0	13032.0	27.55	42.4	16.46	16.46	50.6
46.0	300.65	7404.0	7015.0	13488.0	27.48	41.63	16.8	16.8	49.54
47.0	307.43	7288.0	6899.0	13820.0	26.53	40.05	17.12	17.12	47.02
48.0	314.21	7268.0	6879.0	13768.0	26.55	38.87	17.43	17.43	45.63
49.0	321.0	7568.0	7179.0	13460.0	28.07	37.41	17.73	17.73	45.07
50.0	327.76	7476.0	7087.0	13032.0	28.54	35.35	18.03	18.03	43.17
51.0	334.55	7716.0	7327.0	13260.0	28.92	33.43	18.31	18.31	41.28
52.0	341.33	7824.0	7435.0	13068.0	29.64	31.2	18.57	18.57	39.39
53.0	348.11	7904.0	7515.0	13140.0	29.77	28.95	18.83	18.83	37.06
54.0	354.9	8052.0	7663.0	12848.0	30.81	26.86	19.07	19.07	35.55
55.0	361.68	8240.0	7851.0	13232.0	30.68	24.43	19.29	19.29	32.88
56.0	368.46	8320.0	7931.0	13000.0	31.39	22.15	19.5	19.5	30.96
57.0	375.23	8132.0	7743.0	12896.0	30.98	18.94	19.68	19.68	27.32
58.0	382.02	8472.0	8083.0	11316.0	35.54	17.29	19.88	19.88	28.88
59.0	388.81	7940.0	7551.0	13520.0	29.18	14.82	20.03	20.03	21.6
60.0	395.59	8232.0	7843.0	12936.0	31.23	11.89	20.16	20.16	20.09
61.0	402.37	8396.0	8007.0	12928.0	31.77	9.53	20.29	20.29	18.05
62.0	409.11	8476.0	8087.0	12844.0	32.2	6.56	20.39	20.39	15.36
63.0	415.85	8472.0	8083.0	12868.0	32.13	3.58	20.47	20.47	12.28
64.0	422.58	12488.0	12099.0	11552.0	46.32	-1.05	20.59	20.59	18.16
65.0	429.4	8232.0	7843.0	12876.0	31.35	-2.81	20.63	20.63	5.09
66.0	436.07	8732.0	8343.0	12736.0	33.23	-5.14	20.66	20.66	4.34
67.0	442.76	7924.0	7535.0	13188.0	29.74	-8.52	20.65	20.65	-1.69
68.0	449.44	8200.0	7811.0	12964.0	31.07	-11.46	20.62	20.62	-3.6
69.0	456.16	8332.0	7943.0	12964.0	31.5	-14.34	20.58	20.58	-6.18
70.0	462.9	8300.0	7911.0	12708.0	31.9	-16.57	20.53	20.53	-8.09
71.0	469.59	8552.0	8163.0	13048.0	32.03	-18.49	20.46	20.46	-9.81
72.0	476.3	8144.0	7755.0	13000.0	30.82	-20.7	20.37	20.37	-12.88
73.0	483.08	8012.0	7623.0	13076.0	30.24	-22.56	20.27	20.27	-15.16
74.0	489.87	7860.0	7471.0	13172.0	29.56	-24.47	20.15	20.15	-17.5
75.0	496.66	7824.0	7435.0	12972.0	29.82	-26.24	20.02	20.02	-18.99
76.0	503.44	7836.0	7447.0	13036.0	29.74	-27.97	19.88	19.88	-20.67
77.0	510.23	8436.0	8047.0	13708.0	30.41	-29.6	19.74	19.74	-21.7
78.0	517.03	8000.0	7611.0	12792.0	30.75	-30.87	19.58	19.58	-22.61
79.0	523.82	8132.0	7743.0	13136.0	30.52	-31.93	19.42	19.42	-23.73
80.0	530.61	7512.0	7123.0	13288.0	28.19	-33.28	19.24	19.24	-26.65
81.0	537.42	7436.0	7047.0	13396.0	27.75	-34.19	19.05	19.05	-27.77
82.0	544.21	7472.0	7083.0	13432.0	27.8	-35.54	18.85	18.85	-28.92
83.0	551.0	7536.0	7147.0	13488.0	27.92	-36.34	18.65	18.65	-29.49
84.0	557.8	7404.0	7015.0	13528.0	27.41	-37.23	18.45	18.45	-30.6
85.0	564.6	7180.0	6791.0	13432.0	26.82	-37.97	18.23	18.23	-31.63
86.0	571.4	7024.0	6635.0	13556.0	26.08	-38.75	18.01	18.01	-32.79
87.0	578.19	6852.0	6463.0	13884.0	24.96	-39.81	17.77	17.77	-34.49
88.0	584.99	7012.0	6623.0	13684.0	25.83	-40.52	17.54	17.54	-34.4
89.0	591.79	6776.0	6387.0	13752.0	24.91	-41.6	17.3	17.3	-35.97
90.0	598.58	6752.0	6363.0	13660.0	24.98	-42.0	17.05	17.05	-36.14
91.0	605.36	6756.0	6367.0	13520.0	25.22	-42.48	16.8	16.8	-36.25
92.0	612.17	6876.0	6487.0	13648.0	25.42	-42.78	16.56	16.56	-36.23
93.0	618.98	6644.0	6255.0	13712.0	24.52	-43.05	16.31	16.31	-36.99
94.0	625.77	6736.0	6347.0	13764.0	24.76	-43.28	16.06	16.06	-36.85
95.0	632.56	6540.0	6151.0	13860.0	23.93	-43.43	15.8	15.8	-37.41
96.0	639.35	6416.0	6027.0	13908.0	23.43	-43.32	15.55	15.55	-37.49
97.0	646.15	6208.0	5819.0	13828.0	22.82	-43.39	15.29	15.29	-37.82
98.0	652.95	6136.0	5747.0	13992.0	22.33	-43.6	15.03	15.03	-38.21
99.0	659.74	5876.0	5487.0	14016.0	21.38	-43.5	14.77	14.77	-38.6
100.0	666.54	5928.0	5539.0	14072.0	21.49	-43.59	14.51	14.51	-38.43
101.0	673.42	5892.0	5503.0	14052.0	21.39	-43.76	14.24	14.24	-38.55
102.0	680.3	5852.0	5463.0	14176.0	21.08	-43.82	13.98	13.98	-38.63
103.0	687.17	5856.0	5467.0	14208.0	21.05	-43.79	13.71	13.71	-38.43
104.0	694.04	5632.0	5243.0	14244.0	20.21	-43.57	13.45	13.45	-38.63
105.0	700.93	5556.0	5167.0	14336.0	19.82	-43.63	13.18	13.18	-38.79
106.0	707.81	5452.0	5063.0	14212.0	19.61	-43.45	12.91	12.91	-38.56
107.0	714.68	5376.0	4987.0	14248.0	19.29	-43.42	12.65	12.65	-38.56
108.0	721.56	5376.0	4987.0	14396.0	19.11	-43.46	12.38	12.38	-38.55
109.0	728.43	5108.0	4719.0	14472.0	18.06	-43.39	12.12	12.12	-39.04
110.0	735.3	5144.0	4755.0	14372.0	18.31	-43.31	11.85	11.85	-38.58
111.0	742.18	5072.0	4683.0	14724.0	17.64	-43.31	11.58	11.58	-38.89
112.0	749.06	5004.0	4615.0	14368.0	17.81	-42.95	11.32	11.32	-38.2
113.0	755.92	4876.0	4487.0	14320.0	17.4	-43.18	11.06	11.06	-38.53
114.0	762.78	4988.0	4599.0	14524.0	17.57	-42.85	10.8	10.8	-37.89
115.0	769.64	4964.0	4575.0	14548.0	17.46	-42.49	10.54	10.54	-37.42
116.0	776.51	4732.0	4343.0	14356.0	16.83	-42.47	10.28	10.28	-37.68
117.0	783.38	4692.0	4303.0	14652.0	16.37	-42.29	10.02	10.02	-37.65
118.0	790.26	4596.0	4207.0	14492.0	16.19	-42.36	9.76	9.76	-37.67
119.0	797.04	4464.0	4075.0	14724.0	15.47	-41.95	9.51	9.51	-37.54
120.0	803.81	4580.0	4191.0	14604.0	16.01	-41.79	9.26	9.26	-36.77
121.0	810.59	4472.0	4083.0	14508.0	15.72	-41.57	9.01	9.01	-36.6
122.0	817.34	4436.0	4047.0	14572.0	15.52	-41.39	8.77	8.77	-36.36
123.0	824.13	4376.0	3987.0	14608.0	15.27	-41.24	8.52	8.52	-36.25
124.0	830.92	4268.0	3879.0	14612.0	14.87	-40.9	8.27	8.27	-36.02
125.0	837.68	4096.0	3707.0	14612.0	14.24	-41.05	8.03	8.03	-36.44
